ID	gram	ungram	label	source
3321	Я хочу поблагодарить вас с помощью.	Я хочу поблагодарить вас за помощь.	упр_глаг	torfl_B1
3322	Чего ты помнишь из школы?	Кого ты помнишь из школы?	мест	torfl_A2
3323	Надежда спала, то просыпалась, но никогда не уходила от них.	Надежда то спала, то просыпалась, но никогда не уходила от них.	DOUBLE_CONJ	НКРЯ
3324	Рабочие успели устроить новый дом в срок.	Рабочие успели достроить новый дом в срок.	лекс_глаг	torfl_B2
3325	Тогда же произойдет утверждение на посту председателя ЦВС председателя КНР и генерального секретаря ЦК КПК 61-летнего Ху Цзиньтао.	Тогда же произойти утверждение на посту председателя ЦВС председателя КНР и генерального секретаря ЦК КПК 61-летнего Ху Цзиньтао.	NonF_inf	НКРЯ
3326	Откуда после этого в СМИ появились сообщения, что игрок думает уйти?	После этого в СМИ появились сообщения, что игрок думает уйти из сборной.	np_isl	RuConst
3327	Оля купила овощи, чтобы сделать салат.	Оля купила овощи, что сделать салат.	союз_подч	torfl_B1
3328	Первый матч под руководством специалиста россияне проведут 5 сентября, соперником будет сборная Швеции.	Первый матч под руководством специалиста россияне проведут 5 сентября, соперником сборная Швеции.	PRED_CASE_NOUN_1	RuConst
3329	Сингапурские авиалинии считают, что популярность сверхдлинных перелётов будет высокой: пассажиры хотят сэкономить время, которое обычно тратится на пересадку.	Сингапурские авиалинии считается, что популярность сверхдлинных перелётов будет высокой: пассажиры хотят сэкономить время, которое обычно тратится на пересадку.	согл_пред_ч	torfl_B1
3330	Мне передали просьбу друзей, будто завтра я пришёл на вечеринку пораньше.	Мне передали просьбу друзей, чтобы завтра я пришёл на вечеринку пораньше.	союз_подч	torfl_B2
3331	Дедушка любит объяснять интересные истории.	Дедушка любит рассказывать интересные истории.	лекс_глаг	torfl_B1
3332	Как красиво плавают по небу облака!	Как красиво плывут по небу облака!	лекс_глаг	torfl_B1
3333	В конце урока студенты задавали вопросы преподавателю.	В конце урока студенты говорили вопросы преподавателю.	лекс_глаг	torfl_B2
3334	Тот, кому удастся убедительно связать эти два «просчета», — выиграет.	Кому удастся убедительно связать эти два «просчета», — выиграет.	FREE_REL	НКРЯ
3335	Куда 23 июня появилась информация, что Марадона требовал пустить его?	23 июня появилась информация, что Марадона требовал пустить его на тренировку сборной.	np_isl	RuConst
3336	– Кем ты будешь, когда растёшь?	– Кем ты будешь, когда вырастешь?	вид	torfl_A1
3337	Да-да, ты правильно прочитал.	Да-да, вы правильно прочитал.	agree	RuConst
3338	Екатерина родилась в 1996-м году.	Екатерина родилась в 1996-й год .	числ	torfl_B1
3339	Каждый год на нашу научную конференцию съезжаются известные учёные из разных стран.	Каждый год на нашу научную конференцию приедут известные учёные из разных стран.	время	torfl_B1
3340	В Санкт-Петербург приезжает много туристов.	В Санкт-Петербург приезжает много туристам.	числ	torfl_A1
3341	Я люблю зимой, потому что зимой у меня день рождения.	Я люблю зиму, потому что зимой у меня день рождения.	упр_глаг	torfl_A1
3342	– Саша, мы собираемся на стадион, пойдём с нами?	– Саша, мы собираемся на стадион, сходим с нами?	мод	torfl_B1
3343	Сейчас мне надо на рынок, а потом я поеду домой.	Сейчас мне надо на рынок, а потом я буду ездить домой.	лекс_глаг	torfl_A1
3344	В нашей группе много студентов из Кореи.	В нашей группе много студентов Корея.	упр_сущ	torfl_A1
3345	Целью терактов является подрыв доверия населения к правительству шиитскому.	Целью терактов является подрыв доверия населения к шиитскому правительству.	adj_n	RuConst
3346	Я забыл свой учебник и взял у друг.	Я забыл свой учебник и взял у друга.	упр_предл	torfl_A1
3347	Я не знаю, зачем он не общается с Катей.	Я не знаю, почему он не общается с Катей.	союз_подч	torfl_A2
3348	24 ноября 2015 года стало известно, что в жилом дому города Могоча Забайкальского края из водопроводных кранов полезли пиявки.	24 ноября 2015 года стало известно, что в жилом доме города Могоча Забайкальского края из водопроводных кранов полезли пиявки.	GOV_LOC_2	RuConst
3349	Газета «Ведомости» увеличил продажи на 20 процентов.	Газета «Ведомости» увеличила продажи на 20 процентов.	согл_пред_р	torfl_B2
3350	Сколько остановок от университета до центра?	Сколько остановка от университета до центра?	числ	torfl_A1
3351	"– Тебе понравился новый фильм?
– Да, его удастся посмотреть."	"– Тебе понравился новый фильм?
– Да, его стоит посмотреть."	лекс_глаг	torfl_B2
3352	Врач работал вчера только 3 часа.	Врач работал вчера только 3 часы.	числ	torfl_A1
3354	Отец улетает в Англию и привёз туда наши подарки.	Отец улетает в Англию и везёт туда наши подарки.	вид	torfl_B1
3355	Завтра не будет практических лекций по музыке, потому что ваш преподаватель заболел.	Завтра не будет практических занятий по музыке, потому что ваш преподаватель заболел.	лекс_сущ	torfl_B2
3356	Поэтому наши первые друзья – друзья из школы или из университета.	Поэтому наши первые друзья – друзья из школой или из университета.	упр_предл	torfl_A1
3357	Друг посоветовал мне сходить на концерт певца. Я спросил его, из какой страны этот певец.	Друг посоветовал мне сходить на концерт певца. Я посоветовал его, из какой страны этот певец.	лекс_глаг	torfl_A1
3358	Потом мы часто вспоминали эту встречу со знакомыми.	Потом мы часто вспоминали эту встречу знакомые.	упр_глаг	torfl_A2
3359	Раньше это был жилой дом, а теперь его почти полностью перестроили, и туда переехал банк.	Раньше это был жилой дом, а теперь его почти полностью выстроили, и туда переехал банк.	лекс_глаг	torfl_C1
3360	Таня напрягла память, или воображение, еще какой-то орган, отвечающий за ночную жизнь сознания, и вспомнила: да, и во сне есть музыка, только ее невозможно упомнить…	Таня напрягла память, или воображение, или еще какой-то орган, отвечающий за ночную жизнь сознания, и вспомнила: да, и во сне есть музыка, только ее невозможно упомнить…	DOUBLE_CONJ	НКРЯ
3361	Много статей в сборнике написано совсем молодыми авторами.	Много статей в сборнике написали совсем молодыми авторами.	залог	torfl_B2
3362	В Нижнем Новгороде есть старинный Кремль и много других исторических местах.	В Нижнем Новгороде есть старинный Кремль и много других исторических мест.	числ	torfl_A2
3363	Во время самого долгого в мире пассажирского перелёта вы можете поспать 8 часов, смотрите несколько фильмов, прочитать книгу, несколько раз перекусить, и при этом всё ещё будете находиться в воздухе.	Во время самого долгого в мире пассажирского перелёта вы можете поспать 8 часов, посмотреть несколько фильмов, прочитать книгу, несколько раз перекусить, и при этом всё ещё будете находиться в воздухе.	фин	torfl_B1
3364	Как ожидается, адвокаты оспаривать будут вердикт.	Как ожидается, адвокаты будут оспаривать вердикт.	aux_v	RuConst
3365	Будем разбираться.	Будем разобраться.	FUT_ASP_1	RuConst
3366	Наши дети уже совсем взрослые. Как быстро бежит время!	Наши дети уже совсем взрослые. Как быстро бегает время!	лекс_глаг	torfl_B1
3367	Магазин работает с 9 до 20 часов.	Магазин работает от 9 до 20 часов.	лекс_предл	torfl_B2
3368	В полицию позвонила женщина, обнаружила Бабченко в крови которая.	В полицию позвонила женщина, которая обнаружила Бабченко в крови.	wh_rel	RuConst
3369	Я хочу купить эти туфли.	Я хочу купить это туфли.	согл_атр	torfl_A1
3370	По радио передали, что к вечеру найдёт снег.	По радио передали, что к вечеру пойдёт снег.	лекс_глаг	torfl_С1
3371	Наша кошка любит спать от дивана.	Наша кошка любит спать на диване.	лекс_предл	torfl_A1
3372	Мы смотришь завтра этот новый фильм?	Мы посмотрим завтра этот новый фильм?	время	torfl_A1
3373	А ещё важно читать книги потому, что это увеличиваете словарный запас человека, вырабатывает чёткое и ясное мышление.	А ещё важно читать книги потому, что это увеличивает словарный запас человека, вырабатывает чёткое и ясное мышление.	согл_пред_л	torfl_B2
3374	Мой друг неплохо знает французский язык и хорошо говорит английским языком.	Мой друг неплохо знает французский язык и хорошо говорит по-английски.	чр	torfl_A1
3375	Приложение работает в новом интерфейсе Windows с «плитками живыми».	Приложение работает в новом интерфейсе Windows с «живыми плитками».	adj_n	RuConst
3376	Пусть будет не только Православная Церковь, но и мечеть, и синагога.	Пусть будет не только Православная Церковь, но мечеть и, синагога и.	COORD_DP_DOUBLE	НКРЯ
3377	Антон подарил младшего брату собаку.	Антон подарил младшему брату собаку.	согл_атр	torfl_A1
3378	Она высказала мнение, что такой метод воспитания будет более действенным, чем разговоры и лекции.	Она высказала мнение, что такой метод воспитания будет более действенным, чем разговоров и лекций.	COMPAR_5	RuConst
3379	Саша поехал в Питер будет поступать в университет.	Саша поехал в Питер поступать в университет.	фин	torfl_A2
3380	Бриггс с весны прошлого года старается любыми способами убедить Кличко провести с ним поединок.	Бриггс с прошлого весны года старается любыми способами убедить Кличко провести с ним поединок.	Non-proj	RuConst
3381	Николай Петрович не опоздал, так как самолёт прилетел точно по расписанию.	Николай Петрович не опоздал, так как самолёт прилетал точно по расписанию.	вид	torfl_B1
3382	Мне досталась младшая часть яблока. 	Мне досталась небольшая часть яблока. 	лекс_прил	torfl_B1
3383	Анна собирает новое платье уже 2 часа.	Анна выбирает новое платье уже 2 часа.	лекс_глаг	torfl_B1
3384	Сколько стоят этот брюки?	Сколько стоят эти брюки?	согл_атр	torfl_A1
3385	Шишкин увидел меня и кричит: «Где же ты сходил? Нам уже десять голов забили! Скорей выручай!»	Шишкин увидел меня и кричит: «Где же ты ходишь? Нам уже десять голов забили! Скорей выручай!»	время	torfl_C2
3386	Кому они ждут?	Кого они ждут?	упр_глаг	torfl_A1
3387	Идите вниз по улице, потом поверните направо и увидите магазин «Дети».	Идите снизу по улице, потом поверните направо и увидите магазин «Дети».	лекс_нар	torfl_B1
3388	Думаю, что вполне справлюсь с работой: и книги нужные есть в библиотеке, и времени впереди достаточно.	Думаю, что вполне справлюсь с работой: то книги нужные есть в библиотеке, то времени впереди достаточно.	союз_соч	torfl_C1
3389	У России есть проблемы, требуемые решения.	У России есть проблемы, требующие решения.	voice_parta	RuConst
3390	Тебе надо поговорить зубного врача	Тебе надо поговорить с зубным врачом	упр_глаг	torfl_A1
3391	Этот спортсмен пришел к финишу второму.	Этот спортсмен пришел к финишу вторым.	упр_глаг	torfl_B2
3392	Джон читает русский без словаря. 	Джон читает по-русски без словаря. 	чр	torfl_A2
3393	Трагедия произошла ужас, но все же ясно.	Трагедия произошла страшная, но все же ясно.	np_dep	RuConst
3394	Сколько планет в солнечной системе?	Сколько планеты в солнечной системе?	числ	torfl_A2
3395	Вчера Виктор объявил, что скоро женится.	Вчера Виктор объявляет, что скоро женится.	вид	torfl_B1
3396	Мария давно выступает музыкой и часто участвует в концертах.	Мария давно занимается музыкой и часто участвует в концертах.	лекс_глаг	torfl_A2
3397	У меня есть хорошая друг.	У меня есть хороший друг.	согл_атр	torfl_A1
3398	На обветренном стекле машины был пропуск для проезда по окружной дороге.	На ветровом стекле машины был пропуск для проезда по окружной дороге.	лекс_прил	torfl_C2
3399	Бундестаг принял закон, разрешающий медицинское использование марихуаны.	Бундестаг принял закон, разрешаемый медицинское использование марихуаны.	voice_parta	RuConst
3400	Мой брат женился первого августа. 	Мой брат женился первое августа. 	упр_глаг	torfl_A2
3401	Сидят люди, которые даже не могут пообщаться между собой.	Сидят которые даже не могут пообщаться между собой люди.	n_rel	RuConst
3402	Вчера мы долго нашли ваш дом.	Вчера мы долго искали ваш дом.	вид	torfl_B1
3403	Скоро у него будет день рождения. Каждый год я приезжаю к нему в гости в этот день.	Скоро у него будет день рождения. Каждый год я приеду к нему в гости в этот день.	вид	torfl_A1
3404	Елена серьёзно изучает физику, поэтому она часто учит в библиотеке.	Елена серьёзно изучает физику, поэтому она часто занимается в библиотеке.	лекс_глаг	torfl_A1
3405	Отмены приговора суда первой инстанции требовали адвокаты Косенко.	Отмены приговора первой суда инстанции требовали адвокаты Косенко.	Non-proj	RuConst
3406	Когда Нина вошла в гостиничный номер, она поняла, что очень устала, потому что всю дорогу носила тяжёлую сумку.	Когда Нина вошла в гостиничный номер, она поняла, что очень устала, потому что всю дорогу несла тяжёлую сумку.	лекс_глаг	torfl_A2
3407	Шишкин увидел меня и закричит: «Где же ты ходишь? Нам уже десять голов забили! Скорей выручай!»	Шишкин увидел меня и кричит: «Где же ты ходишь? Нам уже десять голов забили! Скорей выручай!»	лекс_глаг	torfl_C2
3408	Что Б. Гайдар уточнил, что трое сотрудников, по заключению первичного врачебного обследования, получили?	Б. Гайдар уточнил, что трое сотрудников, по заключению первичного врачебного обследования, получили тяжелые ранения.	compl_isl	НКРЯ
3409	По ее словам, это был самый большой стейк, который она когда-либо видела.	По ее словам, самый большой стейк, который она когда-либо видела, это был.	cleft_rc_kot	RuConst
3410	Мы с Леной случайно купили одинаковые сумки.	Мы с Леной случайно купили похожи сумки.	форм_прил	torfl_B1
3411	В этом музее ты сможешь увидеть то, чего никогда еще не видел.	В этом музее ты сможешь увидеть то, чему никогда еще не видел.	союз_подч	torfl_B2
3412	Научно-исследовательское судно предназначено для изучения глубины у моря.	Научно-исследовательское судно предназначено для изучения морских глубин.	чр	torfl_C2
3413	Его коллеги тоже спешат выбраться за пределы нашей Вселенной, пробивая сковавшую их скорлупу.	Тоже его коллеги спешат выбраться за пределы нашей Вселенной, пробивая сковавшую их скорлупу.	CLITICS_2	НКРЯ
3414	Сегодня мы хотим дарить ей абонемент в спортзал.	Сегодня мы хотим подарить ей абонемент в спортзал.	вид	torfl_A2
3415	Научно-исследовательское судно предназначено для изучения морских глубин.	Научно-исследовательское судно предназначено для изучения глубин у морей.	чр	torfl_C2
3416	В этой группе учатся студенты, которые мы встретились вчера вечером.	В этой группе учатся студенты, с которыми мы встретились вчера вечером.	упр_глаг	torfl_B1
3417	Для работы мне нужны больших словарей.	Для работы мне нужны большие словари.	упр_прил	torfl_B1
3418	В трудную минуту мы всегда советуемся близким родственникам.	В трудную минуту мы всегда советуемся с близкими родственниками.	упр_глаг	torfl_B1
3419	Когда мы пришли в гости, мы подарили цветы преподавателю.	Когда мы ходить в гости, мы подарили цветы преподавателю.	вид	torfl_A1
3420	Давайте встретимся в Русский музей.	Давайте встретимся в Русском музее.	лекс_предл	torfl_B1
3421	Что случилось? Мы слушаем в соседней комнате шум.	Что случилось? Мы слышим в соседней комнате шум.	лекс_глаг	torfl_B1
3422	По словам депутата, для определения мнения граждан можно организовать либо референдум, либо широкий опрос населения.	По словам депутата, для определения мнения граждан можно организовать либо референдум, широкий опрос населения.	DOUBLE_CONJ	RuConst
3423	Как зовут этого человека, которого ты ждёшь.	Как зовут этого человека, которого сидит с Иваном.	упр_глаг	torfl_B1
3424	– Повторите, пожалуйста, ваш вопрос, я плохо понимаю по-русски.	– Повторю, пожалуйста, ваш вопрос, я плохо понимаю по-русски.	согл_пред_ч	torfl_A1
3425	Их данные противоречат исследованиям первой группы ученых и свидетельствуют о том, что Гренландия никогда полностью не освобождалась ото льда, хотя были периоды, когда значительная часть острова была от него свободна.	Их данные противоречат исследованиям первой группы ученых и свидетельствуют о том, что Гренландия никогда полностью не освобождалась от льда, хотя были периоды, когда значительная часть острова была от него свободна.	PREP_VAR	RuConst
3426	Мы не представляете, как это важно для меня.	Вы не представляете, как это важно для меня.	agree	RuConst
3427	Метеориты будут продолжать неожиданно падать на Землю, когда будет найден научный способ точного прогнозирования траектории их перемещения в космосе.	Метеориты будут продолжать неожиданно падать на Землю, до тех пор пока не будет найден научный способ точного прогнозирования траектории их перемещения в космосе.	союз_подч	torfl_С1
3428	Я не знаю, сколько слова в этом словаре.	Я не знаю, сколько слов в этом словаре.	числ	torfl_B1
3429	С ним интересно разговаривать: он достаточно знает.	С ним интересно разговаривать: он много знает.	лекс_нар	torfl_B2
3430	Вы выходите на следующей остановке?	Вы уходите на следующей остановке?	лекс_глаг	torfl_B1
3431	Клиент в такой ситуации может полагаться на честность, но никак не на независимость интегратора.	Клиент в такой ситуации полагаться на честность, но никак не на независимость интегратора.	NonF_inf	НКРЯ
3432	Только я тебя очень прошу, не сговорись никому о нашем разговоре.	Только я тебя очень прошу, не проговорись никому о нашем разговоре.	лекс_глаг	torfl_B2
3433	Сколько книг в вашей библиотеке?	Сколько книги в вашей библиотеке?	числ	torfl_B1
3434	По словам представителя местной полиции, несмотря на то, что граждане Таиланда не пострадали от действий мошенников, страна понесла из-за них репутационный ущерб.	По словам местной представителя полиции, несмотря на то, что граждане Таиланда не пострадали от действий мошенников, страна понесла из-за них репутационный ущерб.	Non-proj	RuConst
3435	Ты никого не подвергнешь импичменту.	Они никого не подвергнешь импичменту.	agree	RuConst
3436	Правом на журнала выпуск владеет издательский дом «СК Пресс».	Правом на выпуск журнала владеет издательский дом «СК Пресс».	n_gen	RuConst
3437	Все это стало делать жизнь дворян, особенно не великопоместных, крайне неудобною, и слухменые евреи не упустили об этом прослышать, а как прослышали, так сейчас же и сообразили, что в этом есть для них благоприятного.	Все это стало делать жизнь дворян, особенно не великопоместных, крайне неудобною, и слухменые евреи не упустили об этом прослышать, а прослышали, так сейчас же и сообразили, что в этом есть для них благоприятного.	DOUBLE_CONJ	НКРЯ
3438	Друг сильно изменился за месяц.	Друг сильно изменился на месяц.	лекс_предл	torfl_B1
3439	Муж уплатив долг, хозяйка сумела вернуть животное.	Уплатив долг, хозяйка сумела вернуть животное.	NonF_conv	RuConst
3440	Кандидатам-самовыдвиженцам на этих выборах нужно заручиться было поддержкой 36 тысяч избирателей.	Кандидатам-самовыдвиженцам на этих выборах нужно было заручиться поддержкой 36 тысяч избирателей.	aux_v	RuConst
3441	Алина и Женя поженились пятнадцатое июля.	Алина и Женя поженились пятнадцатого июля.	лекс_предл	torfl_A2
3442	Тебе сказали результаты экзамена?	У тебя сказали результаты экзамена?	упр_глаг	torfl_A1
3443	Мы ещё не решили, куда поехать летом, в Италию и Турцию.	Мы ещё не решили, куда поехать летом, в Италию или Турцию.	союз_соч	torfl_B1
3444	В киоске я купил журнал о спорте.	В киоске я купил журнал спорт.	лекс_предл	torfl_A1
3445	Вы готовы к экзамену?	Вы готовы об экзамене?	упр_прил	torfl_B1
3446	Мне очень нравится на этой машине.	Мне очень нравится эта машина.	упр_глаг	torfl_A2
3447	В этой группе учатся студенты, с которыми мы встретились вчера вечером.	В этой группе учатся студенты, которым мы встретились вчера вечером.	упр_глаг	torfl_B1
3448	Я предупреждаю: не то ты выслушаешь меня, не то я уйду.	Я предупреждаю: либо ты выслушаешь меня, либо я уйду.	союз_соч	torfl_C1
3449	Да, я забыл сказать, что меня зовут Степан.	Да, я забыл сказать, где меня зовут Степан.	союз_подч	torfl_A1
3450	Я никак не могла понять, кто из них способный на такой решительный шаг.	Я никак не могла понять, кто из них способен на такой решительный шаг.	форм_прил	torfl_B2
3451	Структура органов местного самоуправления определяется в каждом регионе населения самостоятельно.	Структура органов местного самоуправления определяется в каждом регионе населением самостоятельно.	упр_глаг	torfl_C1
3452	Когда вчера стало известно, что суд над звездой начнется?	Вчера стало известно, что суд над звездой начнется 8 февраля.	subj_isl	НКРЯ
3453	Информация о самолетов опасном сближении появилась 28 октября.	Информация об опасном сближении самолетов появилась 28 октября.	n_gen	RuConst
3454	Даже сейчас, спустя более шестидесяти лет, я помню мое волнение, доходящее до паники.	Даже сейчас, спустя более шестидесяти лет, я помню я волнение, доходящее до паники.	NOMINALIZ_ECM_2	НКРЯ
3455	Изучать китайский язык нелегко.	Изучать китайский язык нелёгкий.	форм_прил	torfl_B1
3456	Мы больше закупать не будем F-35.	Мы больше не будем закупать F-35.	aux_v	RuConst
3457	— Как наклонять тарелку, в то время как суп подходит к концу: к себе или от себя? — спросил я знатока хороших манер.	— Как наклонять тарелку, когда суп подходит к концу: к себе или от себя? — спросил я знатока хороших манер.	союз_подч	torfl_C1
3458	Наташа не любит потратила много денег.	Наташа не любит тратить много денег.	вид	torfl_B1
3459	Я очень хочу, чтобы друзья подарили мне телефон.	Я очень хочу, чтобы друзья дарят мне телефон.	вид	torfl_B1
3460	Выставка в «Ленэкспо» продлится две недели. 	Выставка в «Ленэкспо» продлится через две недели. 	упр_глаг	torfl_B2
3461	Наташа не любит потратила много денег.	Наташа не любит тратить много денег.	фин	torfl_B1
3462	Я очень хочу найти хорошая работа .	Я очень хочу найти хорошую работу .	упр_глаг	torfl_B2
3463	Только так я могу стать сильнее.	Только так я могу становиться сильно.	вид	torfl_A1
3464	Я очень хочу найти с хорошей работой .	Я очень хочу найти хорошую работу .	упр_глаг	torfl_B2
3465	Скажите, пожалуйста, что вы приехали в Москву?	Скажите, пожалуйста, когда вы приехали в Москву?	союз_подч	torfl_A2
3466	Я не могу читать, я забыл дома очки.	Я не знаю читать, я забыл дома очки.	лекс_глаг	torfl_A2
3467	Я хочу посмотреть известные музеи мира: Лувр, Эрмитаж, Тауэр; плавать во всех морях: в Чёрном море, в Средиземном море, в Красном море.	Я хочу посмотреть в известных музеях мира: Лувр, Эрмитаж, Тауэр; плавать во всех морях: в Чёрном море, в Средиземном море, в Красном море.	упр_глаг	torfl_A1
3468	Тогда он решил ехать в Испанию и начать серьёзно заниматься спортом.	Тогда он решил ехать в Испанию и начать серьёзно заниматься спорта.	упр_глаг	torfl_A1
3469	Российский этап олимпийского эстафеты огня начался 7 октября 2013 года и закончится 7 февраля 2014 года в день открытия зимних Олимпийских игр в Сочи.	Российский этап эстафеты олимпийского огня начался 7 октября 2013 года и закончится 7 февраля 2014 года в день открытия зимних Олимпийских игр в Сочи.	Non-proj	RuConst
3470	В число членов Общественной палаты вошли художественный руководитель театра «Сатирикон» Константин Райкин, телеведущий Дмитрий Дроздов, глава Института социально-экономических и политических исследований Дмитрий Бадовский.	В число Общественной членов палаты вошли художественный руководитель театра «Сатирикон» Константин Райкин, телеведущий Дмитрий Дроздов, глава Института социально-экономических и политических исследований Дмитрий Бадовский.	Non-proj	RuConst
3471	В августе сообщалось, что за 2015 год число жителей страны уменьшилось почти на 200 тысяч человек.	В августе сообщалось, что за 2015 год число жителей страны уменьшилось почти 200 тысяч человек.	GOV_LAT_1	RuConst
3472	Медики называют эту эпидемию самое значительное в мире.	Медики называют эту эпидемию самой значительной в мире.	dep_adj	RuConst
3473	По словам пожарной представителя охраны, огонь продолжает быстро распространяться из-за сильного ветра, сообщает Reuters.	По словам представителя пожарной охраны, огонь продолжает быстро распространяться из-за сильного ветра, сообщает Reuters.	Non-proj	RuConst
3474	Где ты мог оставить телефон? Вспоминай!	Где ты мог оставить по телефону? Вспоминай!	упр_глаг	torfl_B1
3475	Они стихли после убийства, которое закончилось спасением.	Чем они стихли после убийства, которое закончилось?	rel_isl	НКРЯ
3476	Книга является альтернативной грамматикой, в которой представлен нетрадиционный подход к её описанию.	Книга является альтернативной грамматикой, в которой представлено нетрадиционный подход к её описанию.	согл_пред_р	torfl_B2
3477	Если честно, просто хотели поскорее доехать и не знали цен на поездки.	Если честно, просто хотели поскоро доехать и не знали цен на поездки.	COMPAR_8	RuConst
3478	Отец принес большой торт из нового магазина.	Отец принес большой торт новый магазин.	лекс_предл	torfl_A1
3479	О скольки кинотеатрах он уточнил, что речь идет?	Он уточнил, что речь идет о 8-10 кинотеатрах.	compl_isl	RuConst
3480	Социальные антропологи из США посчитали, что экстраверты более склонны, чем интроверты, к использованию манипулятивных приемов при общении с людьми.	Социальные антропологи из США посчитали, что экстраверты склонны, чем интроверты, к использованию манипулятивных приемов при общении с людьми.	COMPAR_4	RuConst
3481	Мы занимаемся аудитория.	Мы занимаемся в аудитории.	упр_глаг	torfl_A1
3482	Вы готовы с экзаменом?	Вы готовы к экзамену?	упр_прил	torfl_B1
3483	Каждый год рождественская ярмарка открывают в середине декабря.	Каждый год рождественская ярмарка открывается в середине декабря.	залог	torfl_B1
3484	Мой друг ведёт интересной передачей.	Мой друг ведёт интересную передачу.	упр_глаг	torfl_B1
3485	Ведь любая статика — это зародыш движения, которое в любой момент… словом, надо не столько смотреть, сколько чувствовать.	Ведь любая статика — это зародыш движения, которое в любой момент… словом, надо не столько смотреть, чувствовать.	DOUBLE_CONJ	НКРЯ
3486	Сегодня утром я был в крайне затруднительной ситуации: движение по городу было затруднённые из-за снегопада, а мне нужно было срочно попасть в офис.	Сегодня утром я был в крайне затруднительной ситуации: движение по городу было затруднённым из-за снегопада, а мне нужно было срочно попасть в офис.	согл_атр	torfl_С1
3487	С таким вопросом журналист обратился у агентства недвижимости.	С таким вопросом журналист обратился к агентству недвижимости.	упр_глаг	torfl_С1
3488	Оба осужденных называли свое уголовное преследование политически ангажированное.	Оба осужденных называли свое уголовное преследование политически ангажированным.	dep_adj	RuConst
3489	Журнал «Мой дом» стоит 212 рубли.	Журнал «Мой дом» стоит 212 рублей.	числ	torfl_A1
3490	Скажи папе, потому что зашёл в магазин по дороге домой.	Скажи папе, чтобы зашёл в магазин по дороге домой.	союз_подч	torfl_B2
